Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
SV - Doc's Backyard,78745.0,2022-11-21,88,"5207 BRODIE LN SUNSET VALLEY, TX 78745 ",10058183,Routine Inspection,"['30.23132', ' -97.81844']",30.23132, -97.81844,30.2306656,-97.8178276
Pok-E-Jo's Brodie Oaks,78704.0,2022-11-19,90,"4109 S CAPITAL OF TEXAS HWY AUSTIN, TX 78704 ",2801806,Routine Inspection,"['30.2394', ' -97.79955']",30.2394, -97.79955,30.236966,-97.797254
Anthem,78701.0,2022-11-18,88,"91 RAINEY ST AUSTIN, TX 78701 ",12033215,Routine Inspection,"['30.26039', ' -97.73817']",30.26039, -97.73817,30.2604951,-97.7379794
PF - La Casita Mexican Restaurant,78660.0,2022-11-18,87,"800 W PECAN ST PFLUGERVILLE, TX 78660 ",12396629,Routine Inspection,"['30.44288', ' -97.62653']",30.44288, -97.62653,30.4430029,-97.6266127
Best Western Plus Austin City Hotel,78704.0,2022-11-18,100,"2200 S IH AUSTIN, TX 78704",2800769,Routine Inspection,,,,30.235276,-97.741559
Whole Foods - Meat Market,78703.0,2022-11-18,100,"525 N LAMAR BLVD AUSTIN, TX 78703 ",2803047,Routine Inspection,"['30.2707', ' -97.7537']",30.2707, -97.7537,30.2706339,-97.753587
Taqueria Arandinas Botanero Sports Bar,78753.0,2022-11-18,88,"9616 N LAMAR BLVD AUSTIN, TX 78753 ",11655851,Routine Inspection,"['30.36657', ' -97.69506']",30.36657, -97.69506,30.3658163,-97.6966621
PF - Piccadilly Market,78664.0,2022-11-18,84,"428 GRAND AVENUE PKWY PFLUGERVILLE, TX 78664 ",12392316,Routine Inspection,"['30.46561', ' -97.64524']",30.46561, -97.64524,30.4661365,-97.6454901
PF - Subway ,78660.0,2022-11-18,92,"1552 FM 685 RD PFLUGERVILLE, TX 78660 ",12392304,Routine Inspection,"['30.45262', ' -97.60396']",30.45262, -97.60396,30.4529734,-97.6041698
Querencia at Barton Creek,78735.0,2022-11-18,93,"2500 BARTON CREEK BLVD AUSTIN, TX 78735 ",10026760,Routine Inspection,"['30.28946', ' -97.86642']",30.28946, -97.86642,30.2902974,-97.867872
"PF - Children's Courtyard, The",78664.0,2022-11-18,99,"1308 PICADILLY DR PFLUGERVILLE, TX 78664 ",12392386,Routine Inspection,"['30.46739', ' -97.64445']",30.46739, -97.64445,30.4673213,-97.6444697
PF - Hiwot Injera,78660.0,2022-11-18,96,"616 FM PFLUGERVILLE, TX 78660",12392331,Routine Inspection,,,,,
Whole Foods Market,78703.0,2022-11-18,98,"705 N LAMAR BLVD AUSTIN, TX 78703 ",12393381,Routine Inspection,"['30.27304', ' -97.75327']",30.27304, -97.75327,30.2706339,-97.753587
PF- Cedar Mart,78660.0,2022-11-18,93,"18900 N HEATHERWILD BLVD STE A PFLUGERVILLE, TX 78660 ",12186627,Routine Inspection,"['30.48076', ' -97.61624']",30.48076, -97.61624,30.480566,-97.6164663
Cafe Creme,78741.0,2022-11-18,99,"1834 E OLTORF ST AUSTIN, TX 78741 ",11060354,Routine Inspection,"['30.23182', ' -97.73572']",30.23182, -97.73572,30.2318602,-97.7356308
PF - Smiling Donuts,78660.0,2022-11-18,85,"428 GRAND AVENUE PKWY PFLUGERVILLE, TX 78660 ",12186654,Routine Inspection,"['30.46561', ' -97.64524']",30.46561, -97.64524,30.4660466,-97.6456139
PF - Pita-Shack Baiti Food,78660.0,2022-11-18,82,"616 FM PFLUGERVILLE, TX 78660",12392594,Routine Inspection,,,,30.4421997,-97.6112899
PF - Accent Foods @ Amazon AUS2,78660.0,2022-11-18,99,"2000 PECAN ST E PFLUGERVILLE, TX 78660 ",12395731,Routine Inspection,"['30.42982', ' -97.59997']",30.42982, -97.59997,30.4318696,-97.5983494
Burger King ,78753.0,2022-11-18,96,"9523 N LAMAR BLVD AUSTIN, TX 78753 ",12186460,Routine Inspection,"['30.365', ' -97.6957']",30.365, -97.6957,30.365184,-97.6954
Scissors & Scotch,78735.0,2022-11-18,100,"7415 SOUTHWEST PKWY AUSTIN, TX 78735 ",12392388,Routine Inspection,"['30.25596', ' -97.86826']",30.25596, -97.86826,30.2554531,-97.8678054
Olive Garden ,78704.0,2022-11-18,85,"3940 S LAMAR BLVD AUSTIN, TX 78704 ",11441900,Routine Inspection,"['30.23725', ' -97.79218']",30.23725, -97.79218,30.2371078,-97.7923027
"Summit, The",78735.0,2022-11-18,99,"7171 SOUTHWEST PKWY AUSTIN, TX 78735 ",12185932,Routine Inspection,"['30.2517', ' -97.86419']",30.2517, -97.86419,30.2515588,-97.8637423
La Mexiquense,78753.0,2022-11-18,93,"850 E RUNDBERG LN AUSTIN, TX 78753 ",12185750,Routine Inspection,"['30.35704', ' -97.68584']",30.35704, -97.68584,30.3575311,-97.6853592
East Austin Pizza Kitchen,78725.0,2022-11-18,88,"14509 FM 969 RD AUSTIN, TX 78725 ",12181985,Routine Inspection,"['30.24747', ' -97.58234']",30.24747, -97.58234,30.2468402,-97.5821804
Advantage Food Sampling,78703.0,2022-11-18,100,"525 N LAMAR BLVD AUSTIN, TX 78703 ",12186567,Routine Inspection,"['30.2707', ' -97.7537']",30.2707, -97.7537,30.2706339,-97.753587
PF - Yaghis Pizzeria,78660.0,2022-11-18,98,"1552 FM 685 RD PFLUGERVILLE, TX 78660 ",12392644,Routine Inspection,"['30.45262', ' -97.60396']",30.45262, -97.60396,30.4530734,-97.6043481
Marigold Market,78735.0,2022-11-18,89,"7415 SOUTHWEST PKWY AUSTIN, TX 78735 ",12174871,Routine Inspection,"['30.25596', ' -97.86826']",30.25596, -97.86826,30.2547832,-97.8669831
PF - Fogonero,78660.0,2022-11-18,72,"800 W PECAN ST STE A PFLUGERVILLE, TX 78660 ",12394158,Routine Inspection,"['30.44288', ' -97.62653']",30.44288, -97.62653,30.4430194,-97.6264491
Asador on Rainey,78701.0,2022-11-18,95,"88 1 2 RAINEY ST AUSTIN, TX 78701 ",12394607,Routine Inspection,"['30.25987', ' -97.73836']",30.25987, -97.73836,30.259897,-97.7385511
UT Golf Club,78732.0,2022-11-17,88,"2200 UNIVERSITY CLUB DR AUSTIN, TX 78732 ",2802127,Routine Inspection,"['30.35651', ' -97.89311']",30.35651, -97.89311,30.356402,-97.893212
Sage Recovery Villa,78653.0,2022-11-17,94,"7201 GILBERT RD AUSTIN, TX 78653 ",11914205,Routine Inspection,"['30.2777', ' -97.57946']",30.2777, -97.57946,30.276767,-97.577266
Forthright,78701.0,2022-11-17,72,"98 SAN JACINTO BLVD AUSTIN, TX 78701 ",11501149,Routine Inspection,"['30.26232', ' -97.74232']",30.26232, -97.74232,30.2624404,-97.7430509
Curry Kitchen,78660.0,2022-11-17,82,"15424 FM 1825 RD PFLUGERVILLE, TX 78660 ",12394086,Routine Inspection,"['30.44784', ' -97.66222']",30.44784, -97.66222,30.4488815,-97.6632083
Wingzup,78751.0,2022-11-17,85,"1000 E 41ST ST AUSTIN, TX 78751 ",10583318,Routine Inspection,"['30.29805', ' -97.71896']",30.29805, -97.71896,30.2999786,-97.721378
LW - Firehouse Subs,78734.0,2022-11-17,94,"900 S FM 620 RD LAKEWAY, TX 78734",10964761,Routine Inspection,,,,30.35632,-97.96004
Laura Bush Elementary Cafeteria,78732.0,2022-11-17,97,"12600 COUNTRY TRAILS LN AUSTIN, TX 78732 ",2801882,Routine Inspection,"['30.36653', ' -97.89989']",30.36653, -97.89989,30.3660623,-97.9004145
McDonalds ,78753.0,2022-11-17,92,"13611 1 AUSTIN, TX 78753",2801985,Routine Inspection,,,,30.3889868,-97.6710889
Josephine House,78703.0,2022-11-17,82,"1601 WATERSTON AVE AUSTIN, TX 78703 ",10879746,Routine Inspection,"['30.28073', ' -97.75891']",30.28073, -97.75891,30.2805852,-97.759033
Oasis Texas Brewing Co.,78732.0,2022-11-17,85,"6550 COMANCHE TRL AUSTIN, TX 78732 ",11175781,Routine Inspection,"['30.40645', ' -97.87439']",30.40645, -97.87439,30.4060122,-97.874192
Hill-Bert's Burgers,78723.0,2022-11-17,88,"5340 CAMERON RD AUSTIN, TX 78723 ",11341790,Routine Inspection,"['30.31176', ' -97.70664']",30.31176, -97.70664,30.3119595,-97.7068479
River Ridge Elementary - Leander Elementary ,78732.0,2022-11-17,97,"12900 TIERRA GRANDE TRL AUSTIN, TX 78732 ",10276728,Routine Inspection,"['30.34573', ' -97.91728']",30.34573, -97.91728,30.3461207,-97.9162931
Children's Center of Austin,78750.0,2022-11-17,100,"6507 JESTER BLVD AUSTIN, TX 78750 ",2801078,Routine Inspection,"['30.36958', ' -97.80005']",30.36958, -97.80005,30.3697786,-97.7993958
LW - Torchy's Tacos,78734.0,2022-11-17,95,"1945 MEDICAL DR LAKEWAY, TX 78734 ",11598876,Routine Inspection,"['30.346342', ' -97.966225']",30.346342, -97.966225,30.3467215,-97.967354
Lake Travis High School,78738.0,2022-11-17,97,"3322 S FM 620 RD LAKEWAY, TX 78738 ",2800680,Routine Inspection,"['30.32691', ' -97.96379']",30.32691, -97.96379,30.3124438,-97.9474515
Lake Travis High School ANNEX,78738.0,2022-11-17,100,"3322 S FM 620 RD LAKEWAY, TX 78738 ",2800687,Routine Inspection,"['30.32691', ' -97.96379']",30.32691, -97.96379,30.3124438,-97.9474515
LW - Baylor Scott & White Insitute for Rehabilitation - Lakeway,78734.0,2022-11-17,100,"2000 MEDICAL DR LAKEWAY, TX 78734 ",11984070,Routine Inspection,"['30.34492', ' -97.96993']",30.34492, -97.96993,30.3451012,-97.9700757
LW - Subway Lakeway,78734.0,2022-11-17,91,"1945 MEDICAL DR LAKEWAY, TX 78734 ",12063236,Routine Inspection,"['30.346342', ' -97.966225']",30.346342, -97.966225,30.347106,-97.967066
LW - Raising Cane's Restaurants,78734.0,2022-11-17,99,"1600 S FM 620 RD LAKEWAY, TX 78734",11531765,Routine Inspection,,,,30.3466847,-97.9651412
Canyon Ridge Middle School,78732.0,2022-11-17,94,"12601 COUNTRY TRAILS LN AUSTIN, TX 78732 ",2802219,Routine Inspection,"['30.36555', ' -97.90147']",30.36555, -97.90147,30.3647627,-97.9029132
Fresa's Chicken al Carbon,78703.0,2022-11-17,84,"915 N LAMAR BLVD AUSTIN, TX 78703 ",10737724,Routine Inspection,"['30.27458', ' -97.75249']",30.27458, -97.75249,30.274447,-97.7522278
"LW - Learning Experience , The",78734.0,2022-11-17,100,"1602 N FM 620 RD LAKEWAY, TX 78734",12396869,Routine Inspection,,,,30.3802581,-97.9457176
Hampton Inn- Austin NW,78759.0,2022-11-17,92,"3908 W BRAKER LN AUSTIN, TX 78759 ",12044030,Routine Inspection,"['30.39719', ' -97.73481']",30.39719, -97.73481,30.3973957,-97.7345849
Lake Travis High School Concession Stands,78738.0,2022-11-17,99,"3322 S FM 620 RD LAKEWAY, TX 78738 ",10186846,Routine Inspection,"['30.32691', ' -97.96379']",30.32691, -97.96379,30.3273846,-97.9699666
LW - Hat Creek Burger Co.,78734.0,2022-11-17,90,"1602 N FM 620 RD LAKEWAY, TX 78734",11727776,Routine Inspection,,,,30.3462785,-97.9654956
Dave and Busters,78759.0,2022-11-17,88,"9333 RESEARCH BLVD AUSTIN, TX 78759 ",2801449,Routine Inspection,"['30.38343', ' -97.73938']",30.38343, -97.73938,30.3834426,-97.7374507
Del Valle ISD Culinary,78617.0,2022-11-17,85,"5201 ROSS RD AUSTIN, TX 78617 ",12006282,Routine Inspection,"['30.17804', ' -97.61556']",30.17804, -97.61556,30.1801157,-97.611976
BC - Ellera,78738.0,2022-11-17,78,"12432 FM 2244 RD AUSTIN, TX 78738 ",12393676,Routine Inspection,"['30.30526', ' -97.93395']",30.30526, -97.93395,30.305878,-97.933441
Walton's Fancy & Staple,78701.0,2022-11-17,91,"609 W 6TH ST AUSTIN, TX 78701 ",10196030,Routine Inspection,"['30.26976', ' -97.74893']",30.26976, -97.74893,30.2696111,-97.7490306
Key Bar,78701.0,2022-11-17,81,"617 W 6TH ST AUSTIN, TX 78701 ",2802706,Routine Inspection,"['30.26987', ' -97.7493']",30.26987, -97.7493,30.2697219,-97.7493899
Wok'N Express,78751.0,2022-11-17,88,"4413 GUADALUPE ST AUSTIN, TX 78751 ",2803461,Routine Inspection,"['30.31072', ' -97.73307']",30.31072, -97.73307,30.3105289,-97.7326999
Taco Bell ,78745.0,2022-11-17,99,"1701 W BEN WHITE BLVD AUSTIN, TX 78745 ",11066726,Routine Inspection,"['30.22822', ' -97.78558']",30.22822, -97.78558,30.2277438,-97.7852814
D.J.'s American Grill/Embassy,78759.0,2022-11-17,83,"9505 STONELAKE BLVD AUSTIN, TX 78759 ",2801188,Routine Inspection,"['30.38494', ' -97.73854']",30.38494, -97.73854,30.3851051,-97.7383602
LW - Smoothie King,78734.0,2022-11-17,95,"1800 S FM 620 RD LAKEWAY, TX 78734",11585663,Routine Inspection,,,,30.345679,-97.965792
Flower Child,78701.0,2022-11-17,86,"500 W 2ND ST AUSTIN, TX 78701 ",11827308,Routine Inspection,"['30.26574', ' -97.74931']",30.26574, -97.74931,30.2660766,-97.7495595
Tinseltown USA Pflugerville,78660.0,2022-11-17,100,"15436 FM PFLUGERVILLE, TX 78660",2801050,Routine Inspection,,,,30.4476635,-97.6635669
Mama Fu's Asian House,78751.0,2022-11-17,87,"4700 W GUADALUPE ST AUSTIN, TX 78751 ",12393996,Routine Inspection,"['30.31573', ' -97.73237']",30.31573, -97.73237,30.3153313,-97.7329896
PF - Chichos,78660.0,2022-11-17,94,"15424 FM 1825 RD AUSTIN, TX 78660 ",12394924,Routine Inspection,"['30.44784', ' -97.66222']",30.44784, -97.66222,30.4495497,-97.6645179
BC - Tony C's,78738.0,2022-11-17,88,"12800 HILL COUNTRY BLVD BEE CAVE, TX 78738 ",12393353,Routine Inspection,"['30.309414', ' -97.939901']",30.309414, -97.939901,30.3092623,-97.9407814
Home 2 Suites by Hilton,78741.0,2022-11-17,90,"1705 AIRPORT COMMERCE DR AUSTIN, TX 78741 ",12072759,Routine Inspection,"['30.22122', ' -97.69065']",30.22122, -97.69065,30.2209404,-97.6904713
Episcopal Seminary Southwest,78705.0,2022-11-16,92,"606 RATHERVUE PL AUSTIN, TX 78705 ",2800727,Routine Inspection,"['30.29201', ' -97.73222']",30.29201, -97.73222,30.292326,-97.7320375
PF - Casa Garcia's Mexican Restaurant,78660.0,2022-11-16,77,"15803 WINDERMERE DR PFLUGERVILLE, TX 78660 ",12186559,Routine Inspection,"['30.44655', ' -97.64841']",30.44655, -97.64841,30.4475454,-97.6476335
PF - 7 Eleven Convenience Store ,,2022-11-16,93,"1717 E PFLUGERVILLE PKWY PFLUGERVILLE, TX ",12395598,Routine Inspection,"['30.45579', ' -97.6028']",30.45579, -97.6028,30.4558551,-97.6030563
Schlotzsky's,78757.0,2022-11-16,97,"2545 W ANDERSON LN AUSTIN, TX 78757 ",11823591,Routine Inspection,"['30.35765', ' -97.73414']",30.35765, -97.73414,30.3563286,-97.7322606
Avenue Food Mart,78660.0,2022-11-16,96,"1700 GRAND AVENUE PKWY AUSTIN, TX 78660 ",10165419,Routine Inspection,"['30.45631', ' -97.66074']",30.45631, -97.66074,30.4566378,-97.6603907
Little Caesars,78753.0,2022-11-16,95,"1030 NORWOOD PARK BLVD AUSTIN, TX 78753 ",10134174,Routine Inspection,"['30.33858', ' -97.6926']",30.33858, -97.6926,30.3409114,-97.691612
Epoch Coffee,78757.0,2022-11-16,90,"2700 W ANDERSON LN AUSTIN, TX 78757 ",11028095,Routine Inspection,"['30.3581', ' -97.73512']",30.3581, -97.73512,30.3593285,-97.7346643
Downtown Grocery DBA Royal Blue Grocery,78701.0,2022-11-16,94,"241 W 3RD ST AUSTIN, TX 78701 ",11762422,Routine Inspection,"['30.26582', ' -97.74579']",30.26582, -97.74579,30.2657008,-97.7460431
Texaco-Citgo,78660.0,2022-11-16,93,"13701 N IH AUSTIN, TX 78660",2803524,Routine Inspection,,,,30.4245385,-97.6705142
Randall's  (Retail),78731.0,2022-11-16,96,"8040 MESA DR AUSTIN, TX 78731 ",2803468,Routine Inspection,"['30.37129', ' -97.75737']",30.37129, -97.75737,30.371503,-97.7583114
Austin Eastciders Barton Springs,78704.0,2022-11-16,89,"1530 BARTON SPRINGS RD AUSTIN, TX 78704 ",12393202,Routine Inspection,"['30.26194', ' -97.76127']",30.26194, -97.76127,30.2621139,-97.7612369
PF - West Pecan Coffee & Beer,78660.0,2022-11-16,99,"100 W PECAN ST PFLUGERVILLE, TX 78660 ",12392681,Routine Inspection,"['30.44004', ' -97.62116']",30.44004, -97.62116,30.4403364,-97.6210299
P.Terry's Burger Stand ,78701.0,2022-11-16,95,"517 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78701 ",12392878,Routine Inspection,"['30.28198', ' -97.74366']",30.28198, -97.74366,30.2818554,-97.7435661
Sawyer and Company,78702.0,2022-11-16,71,"4827 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",11189159,Routine Inspection,"['30.2517', ' -97.7018']",30.2517, -97.7018,30.2513809,-97.7018004
Wingstop ,78757.0,2022-11-16,98,"2900 W ANDERSON LN BLDG B AUSTIN, TX 78757 ",12393769,Routine Inspection,"['30.35959', ' -97.73741']",30.35959, -97.73741,30.3601385,-97.7376772
PF- El Taquito,78660.0,2022-11-16,79,"20007 FM 685 RD PFLUGERVILLE, TX 78660 ",12186636,Routine Inspection,"['30.4824', ' -97.58527']",30.4824, -97.58527,30.4820226,-97.5847671
Jimmy Johns,78701.0,2022-11-16,91,"601 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78701 ",2802955,Routine Inspection,"['30.28229', ' -97.7439']",30.28229, -97.7439,30.2821552,-97.7440119
Freebirds,78753.0,2022-11-16,95,"1100 CENTER RIDGE DR AUSTIN, TX 78753 ",10069518,Routine Inspection,"['30.41803', ' -97.67114']",30.41803, -97.67114,30.4178625,-97.670297
Sazon,78704.0,2022-11-16,90,"1816 S LAMAR BLVD AUSTIN, TX 78704 ",2801208,Routine Inspection,"['30.24975', ' -97.76688']",30.24975, -97.76688,30.2499611,-97.7670667
"Boat, The",78759.0,2022-11-16,89,"10931 STONELAKE BLVD AUSTIN, TX 78759 ",12392929,Routine Inspection,"['30.3977', ' -97.73305']",30.3977, -97.73305,30.3977018,-97.7333479
Hart Elementary School,78753.0,2022-11-16,100,"8301 FURNESS DR AUSTIN, TX 78753 ",2801249,Routine Inspection,"['30.34303', ' -97.68963']",30.34303, -97.68963,30.342554,-97.6887117
Rebel Cheese,78723.0,2022-11-16,94,"2200 ALDRICH ST AUSTIN, TX 78723 ",12186284,Routine Inspection,"['30.30104', ' -97.7032']",30.30104, -97.7032,30.3013614,-97.7031661
Halal Stop Shop,78749.0,2022-11-16,94,"4404 W WILLIAM CANNON DR AUSTIN, TX 78749 ",12395246,Routine Inspection,"['30.22277', ' -97.83954']",30.22277, -97.83954,30.2236907,-97.8385694
PF - G MART,78664.0,2022-11-16,91,"1300 W PFLUGERVILLE PKWY PFLUGERVILLE, TX 78664 ",12396562,Routine Inspection,"['30.47242', ' -97.64292']",30.47242, -97.64292,30.4726455,-97.6419472
Truluck's (Austin's),78701.0,2022-11-16,85,"200 W 4TH ST AUSTIN, TX 78701 ",2801538,Routine Inspection,"['30.26657', ' -97.74489']",30.26657, -97.74489,30.2668844,-97.7449805
Walgreens ,78748.0,2022-11-16,100,"120 W SLAUGHTER LN AUSTIN, TX 78748 ",10495238,Routine Inspection,"['30.16722', ' -97.7889']",30.16722, -97.7889,30.1677189,-97.7891929
Sonic Drive-In ,78748.0,2022-11-16,92,"9708 MANCHACA RD AUSTIN, TX 78748 ",12393992,Routine Inspection,"['30.17542', ' -97.82332']",30.17542, -97.82332,30.1755301,-97.8235202
Escuelita del Alma,78722.0,2022-11-16,98,"3109 N IH AUSTIN, TX 78722",10215627,Routine Inspection,,,,30.2892974,-97.7225165
Taqueria Coahuila LLC,78748.0,2022-11-16,85,"11410 MANCHACA RD AUSTIN, TX 78748 ",12394469,Routine Inspection,"['30.1542', ' -97.83374']",30.1542, -97.83374,30.154238,-97.8338526
Dan's Hamburgers,78702.0,2022-11-16,90,"844 AIRPORT BLVD AUSTIN, TX 78702 ",2800380,Routine Inspection,"['30.25844', ' -97.69366']",30.25844, -97.69366,30.2584131,-97.6938377
QuikTrip # 4126,78753.0,2022-11-16,94,"861 E BRAKER LN AUSTIN, TX 78753 ",12392932,Routine Inspection,"['30.37597', ' -97.67356']",30.37597, -97.67356,30.375369,-97.6735903
Starbuck's ,78704.0,2022-11-16,95,"4006 S LAMAR BLVD AUSTIN, TX 78704 ",2801744,Routine Inspection,"['30.23643', ' -97.79266']",30.23643, -97.79266,30.237644,-97.79256
Taqueria Montenegro,78753.0,2022-11-16,89,"11300 POLLYANNA AVE AUSTIN, TX 78753 ",10113768,Routine Inspection,"['30.37768', ' -97.67669']",30.37768, -97.67669,30.3776202,-97.6770773
Z'Tejas,78703.0,2022-11-16,70,"1110 W 6TH ST AUSTIN, TX 78703 ",11485778,Follow-Up Inspection,"['30.27226', ' -97.75591']",30.27226, -97.75591,30.2725789,-97.7560589
Charm Korean BBQ,78660.0,2022-11-16,85,"1200 W HOWARD LN AUSTIN, TX 78660 ",11505390,Routine Inspection,"['30.42429', ' -97.66966']",30.42429, -97.66966,30.425197,-97.670409
Zen Restaurant,78757.0,2022-11-16,79,"2900 W ANDERSON LN AUSTIN, TX 78757 ",2801525,Routine Inspection,"['30.35959', ' -97.73741']",30.35959, -97.73741,30.3601315,-97.7376388
Casa Arandinas,78660.0,2022-11-16,80,"1700 GRAND AVENUE PKWY AUSTIN, TX 78660 ",11951793,Routine Inspection,"['30.45631', ' -97.66074']",30.45631, -97.66074,30.4566828,-97.6608865
Dirty Bill's,78701.0,2022-11-16,87,"511 RIO GRANDE ST AUSTIN, TX 78701 ",10159030,Routine Inspection,"['30.26967', ' -97.7496']",30.26967, -97.7496,30.2696294,-97.7494138
Burnet Jr. High,78757.0,2022-11-16,100,"8401 HATHAWAY DR AUSTIN, TX 78757 ",2800200,Routine Inspection,"['30.36388', ' -97.72654']",30.36388, -97.72654,30.3645472,-97.7258002
7-Eleven Convenience Store ,78759.0,2022-11-16,87,"12000 N MOPAC EXPY AUSTIN, TX 78759 ",11224954,Routine Inspection,"['30.40941', ' -97.71585']",30.40941, -97.71585,30.4096615,-97.7158303
Jack in the Box ,78753.0,2022-11-16,94,"904 E BRAKER LN AUSTIN, TX 78753 ",10789938,Routine Inspection,"['30.37597', ' -97.67356']",30.37597, -97.67356,30.3760709,-97.6731214
Sweet Paris Creperie & Cafe,78758.0,2022-11-16,86,"11410 CENTURY OAKS TER AUSTIN, TX 78758 ",12393325,Routine Inspection,"['30.40177', ' -97.72632']",30.40177, -97.72632,30.4018515,-97.7264579
Randall's -Deli,78731.0,2022-11-16,92,"8040 MESA DR AUSTIN, TX 78731 ",2800909,Routine Inspection,"['30.37129', ' -97.75737']",30.37129, -97.75737,30.3715752,-97.758223
PF - Amigos BBQ Grill,78660.0,2022-11-16,91,"1100 GRAND AVENUE PKWY PFLUGERVILLE, TX 78660 ",12186590,Routine Inspection,"['30.4584', ' -97.65108']",30.4584, -97.65108,30.4584729,-97.6508753
Bombay Bistro,78704.0,2022-11-16,78,"4200 S LAMAR BLVD AUSTIN, TX 78704 ",10486254,Routine Inspection,"['30.23583', ' -97.79536']",30.23583, -97.79536,30.235987,-97.7953747
PF - Baylor Scott and White Hospital,78660.0,2022-11-16,95,"2600 E PFLUGERVILLE PKWY PFLUGERVILLE, TX 78660 ",12392312,Routine Inspection,"['30.44379', ' -97.57945']",30.44379, -97.57945,30.4514563,-97.5912362
"PF - Growler Bar & Kitchen, The",78660.0,2022-11-16,91,"1300 FM 685 RD PFLUGERVILLE, TX 78660 ",12392690,Routine Inspection,"['30.44896', ' -97.60602']",30.44896, -97.60602,30.4492356,-97.6066521
Randall's (Starbucks Coffee) ,78731.0,2022-11-16,94,"8040 MESA DR AUSTIN, TX 78731 ",2802107,Routine Inspection,"['30.37129', ' -97.75737']",30.37129, -97.75737,30.371352,-97.758351
Vincent's,78749.0,2022-11-15,83,"8916 BRODIE LN AUSTIN, TX 78749 ",12037159,Routine Inspection,"['30.19477', ' -97.84324']",30.19477, -97.84324,30.1947343,-97.8435072
Bob's Steak and Chop House,78701.0,2022-11-15,85,"301 LAVACA ST AUSTIN, TX 78701 ",10801551,Routine Inspection,"['30.26617', ' -97.74616']",30.26617, -97.74616,30.2660601,-97.7460415
Short Stop  ,78759.0,2022-11-15,91,"11689 RESEARCH BLVD AUSTIN, TX 78759 ",2800647,Routine Inspection,"['30.41838', ' -97.74595']",30.41838, -97.74595,30.4184631,-97.7456292
Randall's -Retail,78731.0,2022-11-15,93,"5401 BALCONES DR AUSTIN, TX 78731 ",2803531,Routine Inspection,"['30.33569', ' -97.75836']",30.33569, -97.75836,30.3353805,-97.7579607
Veracruz All Natural,78701.0,2022-11-15,72,"111 E CESAR CHAVEZ ST AUSTIN, TX 78701 ",12393142,Routine Inspection,"['30.26317', ' -97.74378']",30.26317, -97.74378,30.2630218,-97.7444521
Twice the Ice,78702.0,2022-11-15,99,"1144 AIRPORT BLVD AUSTIN, TX 78702 ",10748848,Routine Inspection,"['30.27197', ' -97.69834']",30.27197, -97.69834,30.2718749,-97.6979939
El Nuevo Mexico Restaurant,78757.0,2022-11-15,78,"911 W ANDERSON LN AUSTIN, TX 78757 ",10206751,Routine Inspection,"['30.34806', ' -97.71414']",30.34806, -97.71414,30.348007,-97.714701
Snow ball Rice ball,78729.0,2022-11-15,75,"13343 N US 183 HWY AUSTIN, TX 78729 ",11961372,Routine Inspection,"['30.44848', ' -97.78263']",30.44848, -97.78263,30.4462494,-97.7862683
Kerbey Lane Cafe,78729.0,2022-11-15,87,"13435 N US 183 HWY AUSTIN, TX 78729 ",10162925,Routine Inspection,"['30.45051', ' -97.78537']",30.45051, -97.78537,30.4472622,-97.7870244
Randall's - Bakery,78731.0,2022-11-15,90,"5311 BALCONES DR AUSTIN, TX 78731 ",10307237,Routine Inspection,"['30.33568', ' -97.75784']",30.33568, -97.75784,30.3353805,-97.7579607
Grandview Hills Elementary,78726.0,2022-11-15,94,"12024 VISTA PARKE DR AUSTIN, TX 78726 ",10134031,Routine Inspection,"['30.41501', ' -97.85514']",30.41501, -97.85514,30.4154362,-97.8533359
Michi Ramen,78704.0,2022-11-15,87,"3005 S LAMAR BLVD AUSTIN, TX 78704 ",11353668,Routine Inspection,"['30.24198', ' -97.7846']",30.24198, -97.7846,30.2415421,-97.7841381
Randall's - Food,78731.0,2022-11-15,86,"5311 BALCONES DR AUSTIN, TX 78731 ",2800073,Routine Inspection,"['30.33568', ' -97.75784']",30.33568, -97.75784,30.3353805,-97.7579607
Star Bar,78701.0,2022-11-15,92,"600 W 6TH ST AUSTIN, TX 78701 ",10305392,Routine Inspection,"['30.26968', ' -97.74863']",30.26968, -97.74863,30.269952,-97.748538
Tatsumi,78757.0,2022-11-15,89,"2700 W ANDERSON LN AUSTIN, TX 78757 ",12393336,Routine Inspection,"['30.3581', ' -97.73512']",30.3581, -97.73512,30.3585563,-97.7345202
Jack in the Box ,78754.0,2022-11-15,96,"12309 DESSAU RD AUSTIN, TX 78754 ",10790317,Routine Inspection,"['30.38784', ' -97.64763']",30.38784, -97.64763,30.3878867,-97.6474768
Freddo ATX,78704.0,2022-11-15,94,"2336 S CONGRESS AVE AUSTIN, TX 78704 ",12395854,Routine Inspection,"['30.23927', ' -97.75312']",30.23927, -97.75312,30.2392207,-97.7536321
Highway Food Mart,78617.0,2022-11-15,92,"4535 E SH AUSTIN, TX 78617",11522912,Routine Inspection,,,,30.1871214,-97.6064023
